AuthorYear,Country,StudyType,CancerType,DiabetesCohort,DiabetesPercentageCases,PercentageLateStage,WeightLossTIming,SelfReported,TumourLocationHead,PercentageMalePaCa,MeanAgePaCa,AverageType,SampleSizePaCa,BMIPaCaChange,BMIPaCaSD
Babic et al. (2023),USA,Retrospective,all,mixed,27,49,usual weight,no,unknown,52,67.1,median,714,-1.8,2.1
Chakedis et al. (2022)^,USA,Prospective Observational,PDAC,mixed,28.23,13.21,usual weight,yes,unknown,50.94,65.98,mean,53,-1.98,6.77
Chari et al. (2008)~,USA,Case-Control,all,yes,100,unknown,48 months,no,unknown,55.7,69.7,mean,81,-1.8,5.8
Jachnis and Slodkowski (2021)~,Poland,Prospective Observational,all,mixed,53.9,22.37,usual weight,yes,72.4,53.9,65.32,mean,76,-2.81,4.83
Lemanska et al. (2022)~,UK,Case-Control,all,mixed,30.35,unknown,12 months,no,unknown,50.3,72.1,mean,8777,-2.5,9.56
Lemanska et al. (2022)~,UK,Case-Control,all,yes,100,unknown,12 months,no,unknown,50.3,72.1,mean,2664,-2.9,7.9
Lemanska et al. (2022)~,UK,Case-Control,all,no,0,unknown,12 months,no,unknown,50.3,72.1,mean,6113,-2,11.97
Nemer et al. (2017)~,USA,Retrospective,PDAC,mixed,41.46,47.97,usual weight,yes,unknown,51.22,65.88,mean,123,-3.14,7.92
Pannala et al. (2008)~,USA,Case-Control,all,mixed,39,54,usual weight,yes,68.85,57,66,mean,512,-3,5
Pannala et al. (2008)~,USA,Case-Control,all,yes,100,unknown,usual weight,yes,72,61,68,mean,243,-4,6
Pannala et al. (2008)~,USA,Case-Control,all,no,0,unknown,usual weight,yes,66,54,64,mean,269,-2,5
Ramsey et al. (2019)~,USA,Retrospective,PDAC,unknown,,54.5,12 months,yes,55.6,54.4,65.5,mean,136,-2.9,6.5
Souza et al. (2007)~,Brazil,Retrospective,PDAC,mixed,37.29,58.78,3.5 months,yes,79,44.66,60.84,mean,118,-3.8,6.27
Souza et al. (2007)~,Brazil,Retrospective,PDAC,yes,100,64,3.5 months,yes,77,31.25,62.6,mean,44,-5,6.63
Souza et al. (2007)~,Brazil,Retrospective,PDAC,no,0,50,3.5 months,yes,79,52.63,59.8,mean,74,-3.4,6.02
Trestini et al. (2020)~,Italy,Retrospective,PDAC,unknown,,32.9,6 months,yes,unknown ,56.2,65,mean,73,-2.1,4.3
