AuthorYear,CancerType,WeightLossTiming,PercentageMaleControls,PercentageMalePaCa,MeanAgeControls,MeanAgePaCa,SampleSizeControls,SampleSizePaCa,controlsCases,ControlMean,ControlSD,PaCaMean,PaCaSD,SelfReported,Unit,DiabetesCohort,DiabetesPercentage,TumourLocation(Head),PercentageLateStage,Country ,Year
Babic et al. 2023 [24],all,12 momths,52.7,52.4,66.8,67.1,1748,714,1748/714,-0.26,6.34,-1.23,6.34,no,BMI,mixed,27,unknown,49,USA,2023
Boursi et al. 2017 [25],PDAC,12 months,53.6,53.6,62.7,70.7,108995,390,108995/390,0.18,0.35,0,0.31,no,BMI,yes,100,unknown,unknown,UK,2017
Boursi et al. 2022 [26],PDAC,12 months,54.2,51.8,63.4,70.6,137987,245,137987/245,0.15,0.32,0.06,0.26,no,BMI,unknown,NA,unknown,unknown,UK,2022
Chakedis et al. 2022 [27],PDAC,usual weight,42.9,50.9,60.7,66,14,53,14/53,0,4.77,-1.98,7,yes,BMI,mixed,20.2,unknown,13.2,USA,2022
Chari et al. 2008 [29],all,usual weight,60.3,55.7,71.5,69.7,245,81,245/81,-1.1,6.7,-6.4,8.3,no,kg,yes,100,unknown,unknown,USA,2008
Hart et al. 2011 [30],all,12 months,55.8,37.9,71.7,76.4,43,29,43/29,-0.8,4.8,-8.3,8.3,no,kg,yes,100,unknown,unknown,USA,2011
Hue et al. 2021 [7],PDAC,12 months,43.3,43.3,71,71,780,390,780/390,-2.9,14.85,-14.2,15,no,lbs,unknown,NA,unknown,64.1,USA,2021
Khan and Bhushan 2023 [14],PDAC,12 months,48.3,52.4,66.3,70.6,80743,380,80743/380,1.24,25.9,-9.2,36.7,no,lbs,yes,100,unknown,unknown,USA,2023
Lee et al. 2012 [31],all,usual weight,66.2,57.6,55.8,61.3,302,151,302/151,-0.4,1.5,-4.1,4.7,no,kg,yes,100,unknown,unknown,Korea,2012
Lemanska et al. 2022 [10],all,12 months,50.2,50.3,72.1,72.1,34979,8777,34979/8777,-0.1,9.54,-2.5,9.56,no,BMI,mixed,30.4,unknown,unknown,UK,2022
Pannala et al. 2008 [28],all,usual weight,43,57,66,66,933,512,933/512,1,5,-3,5,yes,BMI,mixed,39,54,68.9,USA,2008
Parker et al. 2024 [32],PDAC,12 months,39.3,38.6,71.9,72.2,252,140,252/140,-1.9,4.81,-2.3,5.33,no,kg,mixed,48.6,unknown,33.5,USA,2024
Sah et al. 2019 [9],PDAC,12 months,51,51,71.8,71.2,657,219,657/219,-0.1,21.9,-4.1,19.5,no,kg,unknown,NA,unknown,unknown,USA,2019
